countryName,countryCode,indicatorName,indicatorCode,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,"In-school proxy, primary age, female (%)",UIS.INS.PRM.F,,93.13445997238159,92.87772989273071,92.35265016555786,90.06995964050293,91.58703994750977,90.99822099229097,91.23577843346948,91.41785827772482,90.74090488913652,90.22016046237499,91.36559029732358,92.88677356012433,94.90640136143475,
Armenia,ARM,"In-school proxy, primary age, male (%)",UIS.INS.PRM.M,,96.71651005744934,96.20875000953674,95.6064600944519,93.26816987991333,94.23312997817993,94.01426144385155,94.32517482517483,93.49135330213919,92.35823194906999,91.93874997155923,94.09570586259224,96.24870243762751,97.95115594381969,
Armenia,ARM,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,93.78178977966309,91.76364040374756,,,,,,,,90.15942487961945,91.64651654413078,92.38973691246834,93.39476345798161,91.74011420170139,93.71846799031754
Armenia,ARM,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,98.06815004348755,95.0032000541687,,,,,,,,89.80972204716507,92.54909119887371,95.60258501116358,95.209052549122,92.63837436856177,93.84230335592339
Armenia,ARM,"Pupil-teacher ratio, primary (trained) (ratio)",UIS.PTR.PRM.TRAINED,,,,,,,,,,29.0679593373494,25.56610001650438,26.0453404718086,24.37056155169717,23.64880411746897,25.12650320162424
Armenia,ARM,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,missing,missing,missing,missing,missing,missing,missing,missing,missing,2T3,2T3,2T3,2T3,2T3,2T3
Armenia,ARM,"Pupil-teacher ratio, secondary (trained) BEST (ratio)",UIS.PTR.SEC.TRAINED,,,,,,,,,,13.30262876683052,14.08054536494552,14.85767955801105,14.06599535243997,13.65291021056814,15.00522233712513
Armenia,ARM,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,,4.982339859008789,5.371500015258789,5.938370227813721,8.252120018005371,7.025929927825928,7.420971110010221,7.142114055969305,7.488349188046508,8.405431422609402,8.874153921786101,7.201609814518728,5.359965154626345,3.509223563095702,1.084145409493376
Armenia,ARM,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,4.052730083465576,6.58266019821167,,,,,,,,10.02286699645681,7.885694292047267,5.950758454582882,5.669467317378661,7.795072029778047,6.217337810217735
Armenia,ARM,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,2T3,2T3,missing,missing,missing,missing,missing,missing,missing,2T3,2T3,2T3,2T3,2T3,2T3
Antigua and Barbuda,ATG,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,96.71586990356445,98.65312004089355,99.54587998986244,97.07745305033893,98.8391376451078,99.04854844793547,98.80326580311588,98.63129997253418,99.08763534693031,99.76437838814095,,,,98.28898735957736,
Antigua and Barbuda,ATG,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,,,,97.03700229948275,96.96237993240356,95.17216119256281,97.2316277802118,95.48444986343384,96.98990246976882,97.92458783920716,,,94.81921680718811,96.23595535829521,
Antigua and Barbuda,ATG,"In-school proxy, primary age, female (%)",UIS.INS.PRM.F,,,,99.63955845911241,98.65531151949799,,,,,,,,,,
Antigua and Barbuda,ATG,"In-school proxy, primary age, male (%)",UIS.INS.PRM.M,,,,94.58333333333333,99.01811040802967,,,,,,,,,,
Antigua and Barbuda,ATG,"In-school proxy, secondary BEST (2T3), female (%) [STRICT]",UIS.INS.SEC.F,,,,,,95.03106021881104,,93.18387985229492,97.95949006080627,,,,,,
Antigua and Barbuda,ATG,"In-school proxy, secondary BEST (2T3), male (%) [STRICT]",UIS.INS.SEC.M,,,,,,95.54928016662598,,97.72659993171692,97.21626996994019,,,,,,
Antigua and Barbuda,ATG,"Pupil-teacher ratio, primary (trained) (ratio)",UIS.PTR.PRM.TRAINED,27.51589012145996,22.38143920898438,23.02422904968262,,20.30339050292969,21.95425033569336,,21.85934066772461,23.48723983764648,,,,,,
Antigua and Barbuda,ATG,"PTR secondary source flag (2T3 / avg(2,3) / only2 / only3 / missing)",UIS.PTR.SEC.SOURCE,2T3,2T3,missing,missing,2T3,missing,missing,2T3,2T3,missing,missing,missing,missing,missing,missing
Antigua and Barbuda,ATG,"Pupil-teacher ratio, secondary (trained) BEST (ratio)",UIS.PTR.SEC.TRAINED,28.30871963500977,25.44879913330078,,,21.71236991882324,,,18.84375,19.49379920959473,,,,,,
Antigua and Barbuda,ATG,"Out-of-school rate, primary age (%) (ROFST.1.CP)",UIS.ROFST.1.CP,3.284130096435547,1.346879959106445,0.454120010137558,2.922546949661073,1.160862354892205,0.9514515520645302,1.196734196884126,1.36870002746582,0.9123646530696896,0.2356216118590491,,,,1.711012640422633,
Antigua and Barbuda,ATG,"Out-of-school rate, secondary age BEST (%) (ROFST.2T3.CP) [STRICT]",UIS.ROFST.SEC.BEST,,,,2.962997700517256,3.037620067596436,4.827838807437187,2.768372219788205,4.515550136566162,3.010097530231175,2.075412160792836,,,5.180783192811885,3.764044641704781,
Antigua and Barbuda,ATG,Secondary BEST source flag (2T3 / missing) [STRICT],UIS.SEC.SOURCE,missing,missing,missing,2T3,2T3,2T3,2T3,2T3,2T3,2T3,missing,missing,2T3,2T3,missing
Australia,AUS,"In-school proxy (100 - ROFST.1.CP), primary age (%)",SE.PRM.TENR,99.67649999260902,97.29431009292603,97.69553995132446,99.9517300017178,99.92803999781609,99.97186999954283,99.99221999989823,99.94221000000834,99.80834999680519,99.78596000373363,99.41914999485016,99.63218998908997,99.70359000563622,99.79254999756813,
Australia,AUS,"In-school proxy (100 - ROFST.2T3.CP), secondary age BEST (%) [STRICT]",SE.SEC.NENR,,,,,,99.68187001347542,99.65505000948906,99.57306000590324,97.8945300579071,98.73132002353668,98.47346997261047,97.88103008270264,96.92523002624512,96.70760011672974,
Australia,AUS,"In-school proxy, primary age, female (%)",UIS.INS.PRM.F,,97.64854001998901,98.09072995185852,,,,,,99.88923999667168,99.89163000136614,99.54038000106812,99.76253999769688,99.81109000742435,99.89954999834299,
Australia,AUS,"In-school proxy, primary age, male (%)",UIS.INS.PRM.M,,96.95800995826721,97.32104992866516,,,,,,99.73175999522209,99.68588000535965,99.30447000265121,99.50898000597954,99.60201001167297,99.69148001074791,
